projection_date,projected_months,mean,std,median,mean-1std,mean+1std,projected_date,actual_rate,actual_rate_direction,classification,mean_v_median,median_accuracy
2015-02-01,6,4.372093023255814,0.26374192056715556,4.5,4.108351102688658,4.635834943822969,2015-08-01,4.5,Neutral,Within 1 std,0.12790697674418627,1
2015-03-01,6,4.458333333333334,0.2810946951514319,4.5,4.177238638181902,4.739428028484766,2015-09-01,4.5,Neutral,Within 1 std,0.041666666666666075,1
2015-04-01,6,4.416666666666667,0.2686158438080581,4.5,4.148050822858609,4.685282510474725,2015-10-01,4.75,Increasing,Above Mean + 1 std,0.08333333333333304,0
2015-05-01,6,4.384146341463415,0.3015458141788416,4.5,4.082600527284574,4.685692155642257,2015-11-01,4.75,Neutral,Above Mean + 1 std,0.1158536585365848,0
2015-06-01,6,4.347560975609756,0.30556325439919035,4.5,4.041997721210566,4.653124230008946,2015-12-01,5.5,Increasing,Above Mean + 1 std,0.15243902439024382,0
2015-07-01,6,4.329545454545455,0.2892086600512258,4.5,4.0403367944942294,4.618754114596681,2016-01-01,5.75,Increasing,Above Mean + 1 std,0.17045454545454497,0
2015-08-01,6,4.488095238095238,0.3071921468701998,4.5,4.180903091225038,4.795287384965438,2016-02-01,6.0,Increasing,Above Mean + 1 std,0.011904761904761862,0
2015-09-01,6,4.670731707317073,0.393061001906208,4.75,4.277670705410865,5.063792709223281,2016-03-01,6.25,Increasing,Above Mean + 1 std,0.07926829268292668,0
2015-10-01,6,5.131944444444445,0.25694712568313616,5.25,4.8749973187613085,5.388891570127581,2016-04-01,6.5,Increasing,Above Mean + 1 std,0.11805555555555536,0
2015-11-01,6,5.643750000000001,0.37075589799413283,5.75,5.2729941020058675,6.014505897994134,2016-05-01,6.5,Neutral,Above Mean + 1 std,0.10624999999999929,0
2015-12-01,6,6.023255813953489,0.3964648602109144,6.0,5.626790953742574,6.419720674164404,2016-06-01,7.25,Increasing,Above Mean + 1 std,0.0232558139534893,0
2016-01-01,6,6.434523809523809,0.3315683528173517,6.375,6.102955456706457,6.766092162341161,2016-07-01,7.5,Increasing,Above Mean + 1 std,0.05952380952380931,0
2016-02-01,6,6.732142857142858,0.39966776271985044,6.75,6.332475094423007,7.1318106198627085,2016-08-01,7.75,Increasing,Above Mean + 1 std,0.01785714285714235,0
2016-03-01,6,6.7272727272727275,0.30412943722654984,6.75,6.423143290046178,7.031402164499277,2016-09-01,7.75,Neutral,Above Mean + 1 std,0.022727272727272485,0
2016-04-01,6,6.998837209302327,0.31348433014932164,7.000000000000001,6.685352879153005,7.3123215394516485,2016-10-01,7.75,Neutral,Above Mean + 1 std,0.0011627906976743319,0
2016-05-01,6,7.06875,0.3396241323611308,7.000000000000001,6.729125867638869,7.40837413236113,2016-11-01,7.75,Neutral,Above Mean + 1 std,0.06874999999999876,0
2016-06-01,6,7.255952380952381,0.37647310352416813,7.5,6.879479277428214,7.632425484476549,2016-12-01,7.75,Neutral,Above Mean + 1 std,0.24404761904761862,0
2016-07-01,6,7.35625,0.4307398971239591,7.249999999999999,6.925510102876041,7.786989897123959,2017-01-01,7.5,Decreasing,Within 1 std,0.10625000000000107,0
2016-08-01,6,7.494444444444445,0.41454002743213325,7.5,7.079904417012312,7.908984471876579,2017-02-01,7.5,Neutral,Within 1 std,0.005555555555554648,1
2016-09-01,6,7.127906976744186,0.47047371334662896,7.000000000000001,6.657433263397557,7.598380690090815,2017-03-01,7.25,Decreasing,Within 1 std,0.12790697674418539,0
2016-10-01,6,6.94047619047619,0.42343515287180855,7.000000000000001,6.517041037604381,7.363911343347999,2017-04-01,7.0,Decreasing,Within 1 std,0.05952380952381109,0
2016-11-01,6,6.754761904761905,0.40767178390392034,6.75,6.347090120857985,7.162433688665825,2017-05-01,7.0,Neutral,Within 1 std,0.004761904761904745,0
2016-12-01,6,6.535714285714285,0.3848163506055582,6.5,6.150897935108727,6.920530636319842,2017-06-01,6.25,Decreasing,Within 1 std,0.0357142857142847,0
2017-01-01,6,6.044871794871795,0.37553380809940534,6.0,5.66933798677239,6.4204056029712,2017-07-01,6.25,Neutral,Within 1 std,0.04487179487179471,0
2017-02-01,6,6.274390243902439,0.34371535302112827,6.25,5.930674890881311,6.618105596923567,2017-08-01,5.5,Decreasing,Below Mean - 1 std,0.024390243902439046,0
2017-03-01,6,6.00625,0.2913688956174515,6.0,5.714881104382548,6.297618895617451,2017-09-01,5.25,Decreasing,Below Mean - 1 std,0.006249999999999645,0
